Delta_T	Exponent_Unnorm	Std.Dev_Unnorm	Median_Unnorm	1QT_Unnorm	3QT_Unnorm	Exponent_Norm	Std.Dev_Norm	Median_norm	1QT_norm	3QT_norm
0	5.38576086125	3.59003404657	4.8107206634	5.88876635997	3.93210879067	2.11059745229	0.249253335919	2.10610780949	2.27284154091	1.95007138624
1	4.2328382457	1.01519929084	4.06130327462	4.57479784954	3.62553248371	2.37035814656	0.297319723697	2.38916318364	2.55105004086	2.21552721829
2	3.90631726937	0.813623741389	3.84216661553	4.2306007758	3.45150856106	2.47308237414	0.310501967959	2.48341690742	2.65648768505	2.28812218522
3	3.7469070581	0.667948459118	3.66821329024	4.07025449037	3.3378218534	2.47295166293	0.303085406994	2.46590130527	2.66460938656	2.3086801946
4	3.5952420841	0.596933934118	3.51570749631	3.88525393549	3.23710830433	2.48272105494	0.315499327225	2.50268324522	2.67666179603	2.29312492889
5	3.4932876911	0.552703841216	3.42991921933	3.75617090278	3.16651631221	2.46043072308	0.302690436946	2.47630254688	2.65797343953	2.28057707538
6	3.401245353	0.573871695174	3.34533938659	3.58589842257	3.0822135891	2.45484284692	0.302334128295	2.45368616185	2.64952690304	2.2838951725
7	3.33285124014	0.55061266303	3.26683265053	3.55191096434	3.02089566582	2.42875021108	0.297896230061	2.44136677769	2.60684320553	2.2591523718
8	3.272594436	0.498271820703	3.21128361473	3.46087097539	2.98639316071	2.42798515111	0.312194107086	2.45346807317	2.62868736642	2.24440830095
9	3.21753427425	0.499571332319	3.14443434849	3.39353437972	2.96279890022	2.40370820253	0.316647181621	2.40887391409	2.59833479869	2.22675571444
10	3.18288024704	0.46875029424	3.14359729009	3.35553606206	2.93223749297	2.38027524862	0.300493283544	2.40905519787	2.57363770629	2.20511104139
11	3.1466300863	0.492773145438	3.06822039945	3.3083963064	2.87225685782	2.38290631544	0.317104649676	2.38925371527	2.58528975138	2.20664161636
12	3.10915154204	0.459268866682	3.04875826113	3.28848783714	2.86980591202	2.36332308475	0.304941461709	2.38345179882	2.57171117661	2.17778703051
13	3.08733246349	0.51266370165	3.02833961185	3.20819179808	2.79875788032	2.35136803707	0.32025256184	2.35206038458	2.54043467773	2.17786028241
14	3.06985977784	0.492180285351	3.00234200939	3.22780552541	2.79212899238	2.33303590252	0.337995812474	2.31958332108	2.55684600935	2.14247946358
15	3.03964958649	0.507010629977	2.96704031139	3.1848523259	2.74779207673	2.30587351367	0.314862685034	2.26571517863	2.52318858201	2.0909854595
16	3.05300632382	0.652231501216	2.95578238587	3.1864596594	2.77074778106	2.26073635571	0.303500672561	2.24448500771	2.43627038656	2.06317518652
17	3.03868995314	0.656962540173	2.96446468764	3.17049864084	2.74608662516	2.22194616034	0.280885072687	2.21491953954	2.36620575648	2.03741983872
18	3.0337794087	0.603023782064	2.98397240087	3.13707373093	2.74094209696	2.21063245201	0.275843309445	2.22371589649	2.36191732358	2.00139234257
19	3.11910479062	0.726278654773	3.00427677646	3.16870612839	2.78962875382	2.202685464	0.306125842768	2.17142155905	2.3675509759	1.94635595763
20	3.13923790266	0.605921132356	3.06543994245	3.35110751413	2.7537115006	2.11638510076	0.268910549124	2.0826782134	2.28877858008	1.91895407198
21	3.52454331092	1.15146841455	3.2798541691	3.62414296376	2.98693070716	2.10569687941	0.243472784263	2.05085132114	2.20771594039	1.91772701361
